I0426 10:50:24.176386    3162 serve.go:43] cloudcode_cli (Mar 25 2025 19:59:47 -0700, cl:740584268 baseline:740583863)
I0426 10:50:24.186918    3162 serve.go:44] Command line: ["/home/bhoomkar04/.cache/cloud-code/cloudcode_cli/cloudcode_cli/413fde1b/cloudcode_cli" "duet" "-logtostderr"]
I0426 10:50:24.196232    3162 life_cycle.go:182] Initializing. Architecture: "amd64", Operating system: "linux"
I0426 10:50:25.989683    3162 handler.go:159] cancel was requested for: 1, needs to be canceled: true
I0426 10:50:26.034305    3162 configuration.go:185] product updateChannel will be used
I0426 10:50:26.034370    3162 configuration.go:686] language thresholds: map[]
I0426 10:50:26.034392    3162 configuration.go:630] dataFileExtensions array: [.csv .tsv .jsonl]
I0426 10:50:26.034414    3162 configuration.go:897] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000fdc55d StopSequences:map[] DataFilePromptLines:0}
I0426 10:50:26.034450    3162 configuration.go:897] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000fdc57d StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0426 10:50:26.034608    3162 configuration.go:279] Configured settings for atlasOpts: {"Addr":"","QuotaProject":"","Project":"cloudshell-gca","LogPrompt":true,"UseTypeoverCache":true,"AdaptiveCacheEnabled":false,"EnableAdminCitationBlock":false,"EnableChatStreaming":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0426 10:50:26.034649    3162 configuration.go:287] Configured settings for cloudCodeOpts: {"Addr":"cloudcode-pa.googleapis.com:443","QuotaProject":"","Project":"cloudshell-gca","LogPrompt":true,"UseTypeoverCache":true,"AdaptiveCacheEnabled":false,"EnableAdminCitationBlock":false,"EnableChatStreaming":false}
